Country,Cod,Pop_est,Leitos,Inicio,lock1,tau lock1,lock2,tau lock2,lock3,tau lock3,lock4,tau lock4,lock5,tau lock5,lock6,tau lock6
Maldives,119,515696,,31/12/2019,,,,,,,,,,,,
Mali,120,19077690,,31/12/2019,,,,,,,,,,,,
Malta,121,483530,,31/12/2019,,,,,,,,,,,,
Mauritania,122,4403319,,31/12/2019,,,31/03/2020,0.33,,,,,,,,
Mauritius,123,1265303,,31/12/2019,,,,,,,,,,,,
Mexico,124,126190788,1120,31/12/2019,,,,,,,,,,,,
Moldova,125,3545883,,31/12/2019,,,31/03/2020,0.33,,,,,,,,
Monaco,126,38682,,31/12/2019,,,,,,,,,,,,
Mongolia,127,3170208,,31/12/2019,,,,,,,,,,,,
Montenegro,128,622345,,31/12/2019,,,,,,,,,,,,
Montserrat,129,5900,,31/12/2019,,,,,,,,,,,,
Morocco,130,36029138,,31/12/2019,,,,,14/03/2020,0.53,,,,,,
Mozambique,131,29495962,,31/12/2019,,,,,,,,,,,,
Myanmar,132,53708395,,31/12/2019,,,,,,,,,,,,
Namibia,133,2448255,,31/12/2019,,,,,,,,,,,,
Nepal,134,28087871,,31/12/2019,,,,,,,,,,,,
Netherlands,135,17231017,621,31/12/2019,,,16/03/2020,0.33,,,,,,,,
New_Caledonia,136,284060,,31/12/2019,,,,,,,,,,,,
New_Zealand,137,4885500,,31/12/2019,,,,,25/03/2020,0.53,,,,,,
Nicaragua,138,6465513,,31/12/2019,,,16/03/2020,0.33,,,,,,,,
Niger,139,22442948,,31/12/2019,,,,,,,,,,,,
Nigeria,140,195874740,,31/12/2019,,,,,,,,,,,,
North_Macedonia,141,2082958,,31/12/2019,,,,,,,,,,,,
Northern_Mariana_Islands,142,56882,,31/12/2019,,,,,,,,,,,,
Norway,143,5314336,394,31/12/2019,,,16/03/2020,0.33,12/03/2020,0.53,,,,,,
Oman,144,4829483,,31/12/2019,,,,,,,,,,,,
Pakistan,145,212215030,,31/12/2019,,,,,,,,,,,,
