UF,Municipio,UF_COD,ibgeID,Pop_estimada,Leitos,Inicio,lock_1,tau lock1,lock_2,tau lock2,lock_3,tau lock3,lock_4,tau lock4,lock_5,tau lock5,lock_6,tau lock6
RR,Sao Joao da Baliza,14,1400506,8201,8,25/02/2020,,,,,,,,,,,,
RR,Sao Luiz,14,1400605,7986,8,25/02/2020,,,,,,,,,,,,
RR,Uiramuta,14,1400704,10559,8,25/02/2020,,,,,,,,,,,,
PA,Abaetetuba,15,1500107,157698,441,25/02/2020,,,,,,,,,,,,
PA,Abel Figueiredo,15,1500131,7434,441,25/02/2020,,,,,,,,,,,,
PA,Acara,15,1500206,55591,441,25/02/2020,,,,,,,,,,,,
PA,Afua,15,1500305,39218,441,25/02/2020,,,,,,,,,,,,
PA,Agua Azul do Norte,15,1500347,27430,441,25/02/2020,,,,,,,,,,,,
PA,Alenquer,15,1500404,56789,441,25/02/2020,,,,,,,,,,,,
PA,Almeirim,15,1500503,34109,441,25/02/2020,,,,,,,,,,,,
PA,Altamira,15,1500602,114594,441,25/02/2020,,,,,,,,,,,,
PA,Anajas,15,1500701,29277,441,25/02/2020,,,,,,,,,,,,
PA,Ananindeua,15,1500800,530598,441,25/02/2020,,,,,,,,,,,,
PA,Anapu,15,1500859,27890,441,25/02/2020,,,,,,,,,,,,
PA,Augusto Correa,15,1500909,45998,441,25/02/2020,,,,,,,,,,,,
PA,Aurora do Para,15,1500958,31338,441,25/02/2020,,,,,,,,,,,,
PA,Aveiro,15,1501006,16388,441,25/02/2020,,,,,,,,,,,,
PA,Bagre,15,1501105,30673,441,25/02/2020,,,,,,,,,,,,
PA,Baiao,15,1501204,47446,441,25/02/2020,,,,,,,,,,,,
PA,Bannach,15,1501253,3286,441,25/02/2020,,,,,,,,,,,,
PA,Barcarena,15,1501303,124680,441,25/02/2020,,,,,,,,,,,,
PA,Belem,15,1501402,1492745,441,25/02/2020,,,,,,,,,,,,
PA,Belterra,15,1501451,17732,441,25/02/2020,,,,,,,,,,,,
PA,Benevides,15,1501501,62737,441,25/02/2020,,,,,,,,,,,,
PA,Bom Jesus do Tocantins,15,1501576,16981,441,25/02/2020,,,,,,,,,,,,
PA,Bonito,15,1501600,16286,441,25/02/2020,,,,,,,,,,,,
PA,Braganca,15,1501709,127686,441,25/02/2020,,,,,,,,,,,,
PA,Brasil Novo,15,1501725,15086,441,25/02/2020,,,,,,,,,,,,
PA,Brejo Grande do Araguaia,15,1501758,7380,441,25/02/2020,,,,,,,,,,,,
PA,Breu Branco,15,1501782,66046,441,25/02/2020,,,,,,,,,,,,
PA,Breves,15,1501808,102701,441,25/02/2020,,,,,,,,,,,,
PA,Bujaru,15,1501907,29132,441,25/02/2020,,,,,,,,,,,,
PA,Cachoeira do Piria,15,1501956,33900,441,25/02/2020,,,,,,,,,,,,
PA,Cachoeira do Arari,15,1502004,23767,441,25/02/2020,,,,,,,,,,,,
PA,Cameta,15,1502103,137890,441,25/02/2020,,,,,,,,,,,,
PA,Canaa dos Carajas,15,1502152,37085,441,25/02/2020,,,,,,,,,,,,
PA,Capanema,15,1502202,69027,441,25/02/2020,,,,,,,,,,,,
PA,Capitao Poco,15,1502301,54303,441,25/02/2020,,,,,,,,,,,,
